1980,6319408
1981,6354074
1982,6391309
1983,6418773
1984,6441865
1985,6470365
1986,6504124
1987,6545106
1988,6593386
1989,6646912
1990,6715519
1991,6799978
1992,6875364
1993,6938265
1994,6993795
1995,7040687
1996,7071850
1997,7088906
1998,7110001
1999,7143991
2000,7184250
2001,7229854
2002,7284753
2003,7339001
2004,7389625
2005,7437115
2006,7483934
2007,7551117
2008,7647675
2009,7743831
2010,7824909
2011,7912398
2012,7996861
2013,8089346
2014,8188649
2015,8282396
2016,8373338
2017,8451840
2018,8514329
2019,8575280
2020,8638167
2021,8704546
2022,8775760
